business_id,stars,text,name
v_vqna00z6WqKcIJZDkbAw,5,"I was looking for a new salon in the Westchase area,  after reading the reviews I decided to stop by.   It was a Saturday and pretty busy,  so he asked me to wait for about 20 minutes.  I didn't mind, I grab some food and returned. I'm not familiar the names yet but the guy who assisted me did a very good job.  I got a gel set and it's been almost 3 weeks and no chips and it still looks pretty descent.  I'll definitely be returning.",C Nails
v_vqna00z6WqKcIJZDkbAw,1,"Horrible service, had to go to another salon the next day to get my nails fixed they were so bad... person doing them took forever and didn't seem to care that they looked horrible!!!",C Nails
v_vqna00z6WqKcIJZDkbAw,5,Great gel manicures! Current one is going on over 4weeks! And they still look fresh. I'd like a few more colors but their handiwork is on point.,C Nails
v_vqna00z6WqKcIJZDkbAw,5,"I have only gotten their shellac manicure so far (three times, though!) and am beyond pleased with the results. They do such a great job, don't rush, and make sure you are happy with the end product before sending you on your way. The atmosphere is relaxing, warm, and welcoming. I cannot wait to try their other nail services!",C Nails
v_vqna00z6WqKcIJZDkbAw,5,After reading reviews and looking around I found this salon! QT was awesome! She did my nails absolutely perfect! I'm very picky and left the salon SO HAPPY with my PERFECT NAILS!  She's also so sweet and talked to me the whole time. LOVED HER! Mai and Sean were also SO accommodating! Awesome place. I found a gem!,C Nails
v_vqna00z6WqKcIJZDkbAw,5,This is definitely a sanctuary for extremely reasonable pricing. My bf and I tried it out soon after we relocated to the area. I've been back several times and have had the peppermint pedi and lavender pedi along with a basic manicure with clear polish (as I don't normally like getting color on my nails unless there is a special occasion ).  The pedicurists are all wonderful and friendly. I still can't believe all the service you get for the $ you spend. Thankfully I live close by and can drop by within a few minutes. I generally don't have to wait. The only wait I had was about 35 min but it was on a busy Sunday afternoon. I grabbed a quick bite across the street and came back. A+ in my book.,C Nails
v_vqna00z6WqKcIJZDkbAw,4,"Very relaxing! We recommend the peppermint pedicure. 

Took my mom here for a deluxe pedicure for her birthday and it was money well spent! My mom and I are hesitant to go to nail salons because they're often not as sanitary as we'd like, but this one seemed clean enough. The staff was friendly, the environment was comfortable and overall it was a good value; about $35 per person for a pedicure including a hot stone massage, mask, towel wrap, the works. 

Room for Improvement: 
- I would've liked to see them open new packages or use new files/pumice on us. I work in the beauty industry and know that it's a standard procedure for many salons and spas now.
- While I did have an appointment for two, they started on my mom first and left me in the water for so long that it got cold. I wish they would've just had us both wait together instead. The good news is that it was still a great pedicure!",C Nails
v_vqna00z6WqKcIJZDkbAw,5,"The salon is clean. After enjoying a relaxing ""Sweet"" pedicure, I was led to the manicure table while the foot station was disinfected. The French on my toes looked very nice. All calluses were removed. I opted for the dipping powder French.

The nails are looking great! Sean did a fabulous job!! 

I highly recommend this salon. The salon is clean, Sean took his time, the end result is a very satisfied customer. 

I took a picture of my natural nails: fabulous!",C Nails
v_vqna00z6WqKcIJZDkbAw,5,"I've been going here since June and I couldn't be happier with this place. My manicures and pedicures look great and last! They have a great offering of services. Staff is very friendly and welcoming. Clean and soothing salon. You don't feel like a number, they are very customer focused. Also some nail salons sometimes hurt when they work around and clean your nails, not this place. Nothing ever hurts. 

Lastly try the Orange pedicure. It is the best. They rub cool limes on your feet and it feels so refreshing which is then followed by warm oil poured on an orange and rubbed on your feet and legs, followed by warm stones. Amazing!",C Nails
v_vqna00z6WqKcIJZDkbAw,5,"This is a hidden gem.  A very clean and nice nail salon.  I've found my go to place in my new neighborhood.  I've been here 5 times now and highly recommended it.  Everyone is really nice and friendly.  They have an awesome menu of different services, they play relaxing music, and even have HGTV on for those that need some inspiration.  Mai is my girl :) she is awesome!",C Nails
v_vqna00z6WqKcIJZDkbAw,3,"The good: gel nail manicure lasted for 3 weeks. The nails looked very nice and grew in length. 
The bad: I went to get the gel removed. I was quoted a price of $5. The gel was removed and I was told the service was over. If you have experience in gel nails, you know that the natural nail needs to be filed and cleaned up and oil should be applied. I had to ask for the filing and no oil was offered.  With so many salons in the area, there is no reason for me to return.",C Nails
v_vqna00z6WqKcIJZDkbAw,5,Just left and I could not have received better service. The prices are reasonable and Shaun is fantastic. I will definitely be returning.,C Nails
