business_id,stars,text,name
zsQ1_PNV3KN0EWhAE-WV9g,3,"If you're looking for a restaurant to bring out of town guests to, this is a good choice...Their patio is prime Tucson, and it's a resort-like gorgeous setting, which offers a perfect respite from the ordinary. On a comfortable sunny day, surrounded by a lush desert flower/humming bird/butterfly garden- be advised- you're paying a premium for these grounds. That premium was worth it to me, and I did feel recharged and renewed from enjoying the lovely patio (not so enamored about the food though). 

The food is average, but priced well above average. This is a tourist spot, and go with the knowledge that the food is priced (and flavored) accordingly. A wrap sandwich: ($12). A salmon salad: ($14.50). Prices aren't that much higher than Wildflower, but the food isn't as good either. Still, it's a nice option if you need a place to bring those out of town guests, or if you're just looking to change up your local routine. You can show off to your guests by ordering a prickly pear lemonade! 

Bonus: Make sure to stroll the grounds after you eat. They have a fantastic nursery that features native and non-native desert plants from Civano nursery, complete with helpful volunteers who will take their time explaining how to care for each of them.",Tohono Chul Garden Bistro
zsQ1_PNV3KN0EWhAE-WV9g,4,"We decided to try again recently,and things are looking up. The kitchen is still very slow, and the food rather inconsistent, but on the whole it seems to be getting better. We sat outside this time, a better option with the kids and for nice weather in general, and we actually enjoyed our meal. The wait is significant in high season though, so be prepared.",Tohono Chul Garden Bistro
zsQ1_PNV3KN0EWhAE-WV9g,5,"We came across this brunch place & absolutely loved it. The scenery was very peaceful & the food was presented beautifully. We got the Tres Locos Tacos, Tohono Chul Skillet, Huevos Rancheros & the Tohono Chul quesadilla with carne asada. Everything was amazing. Huevos Rancheros was a little different than what we were used to but not a bad choice. All in all very pleased with this place. Great service as well, Ryan took really great care of us!",Tohono Chul Garden Bistro
zsQ1_PNV3KN0EWhAE-WV9g,3,"Great atmosphere and food was flavorful. But the older hostess was grouchy. No smile when we were greeted, when we were leaving I told her goodbye and she just stared. I can spend my money elsewhere.",Tohono Chul Garden Bistro
zsQ1_PNV3KN0EWhAE-WV9g,5,"This is my favorite brunch place for sure! The prickly pear mimosa and changing menu of delicious local fare are always fabulous. I don't think I've ever had anything I didn't like, honestly. The huevos rancheros over Indian fry bread was by far one of the best things I've ever put in my mouth! Can't beat ambiance when sitting outside near the garden, it's gorgeous. This place is a must.",Tohono Chul Garden Bistro
zsQ1_PNV3KN0EWhAE-WV9g,5,Great food. Try the salmon beer salad with the passion fruit iced tea at lunch. Delicious!,Tohono Chul Garden Bistro
zsQ1_PNV3KN0EWhAE-WV9g,1,"Today I came in, we ordered off of the seasonal menu and it was very good. The service on the other hand has been terrible, our server Catina took our drink order, did not deliver them, did not refill them but offered a refill with the check (she only dropped off did not pick up), she took our food order and did not deliver it other than that hasn't even been in earshot or in the general area, very ghost like. Luckily for Brett we were able to get refills and have our check and food delivered to us. So my recommendation is hire a manager to manage this place or give the busboy a serving job, I don't plan on coming back here despite the good food and beautiful location.",Tohono Chul Garden Bistro
zsQ1_PNV3KN0EWhAE-WV9g,2,"The place that was here before, the tea room, was one of our favorites. We tried the new place and were sorely disappointed. The menu has been replaced with a much less interesting one. The food is pretty forgettable (not terrible). Staff is friendly and the patio is still gorgeous. Didn't hate it but won't come back. There's too many good places in Tucson to waste your time with this place.",Tohono Chul Garden Bistro
zsQ1_PNV3KN0EWhAE-WV9g,4,"Wonderful place for lunch, but make sure to monitor the weather.  The best place to sit and have a wonderful lunch is on the patio.  However, the patio can be too hot in the sun, or too cold in the shade, all depending on the weather.  So, pay attention and get a seat in the right place.

We were fortunate and had a great place in the shade, on a warm day.  The prickly pear cactus drinks are delicious.  I'd love to go back just for this one thing.  Service was terrific.",Tohono Chul Garden Bistro
zsQ1_PNV3KN0EWhAE-WV9g,5,"My new go-to brunch place! Just around the corner from my house in Casas Adobes. Even during the summer, the garden patio dining is beautiful, but there's also an indoor seating option. I've been twice without a reservation, and didn't encounter any problems, but may be a different story during busier times of the year. Both times I ordered the eggs benedict, which has been very satisfactory. Not as good as my husband makes, but that's a tall order. One of the better renditions I've had at a restaurant. But what really earns this place 5 stars are the prickly pear mimosas. Not an original concept, per se, but they actually serve them in a wine glass instead of a champagne flute... less fancy, but more to drink! Yay! I had the same server on both visits, and he was very personable. Took the time to chat, but wasn't obnoxious or creepy. I also really appreciated that he didn't make me and girlfriends feel rushed when we were gabbing and taking our sweet time ordering and eating. Again, maybe different when they are busy and waiting to turn over a table, but it makes a big impression. Looking forward to returning again soon.",Tohono Chul Garden Bistro
