business_id,stars,name,processed_text
7k9qGQyytbGxpJTnwxK6Xg,5,QDOBA Mexican Eats,like chipotle food great filling tasty got quick everyone nice polite take temple diamond dollar always bonus student night came use restroom without buying anything didnt care
7k9qGQyytbGxpJTnwxK6Xg,2,QDOBA Mexican Eats,love qdoba kinda dirty especially behind counter comparing one city line avenue thats great one service cleanliness
7k9qGQyytbGxpJTnwxK6Xg,5,QDOBA Mexican Eats,best burrito place world better real mexican place better chipotle california tortilla moes baja grill etc dont like get outta face queso chicken burrito life also choulua hot sauce rule chipolte tobasco suck as
7k9qGQyytbGxpJTnwxK6Xg,5,QDOBA Mexican Eats,like enviornment clean food fresh taco salad grilled chicken service fast pricy know cheaper show frequenctly
7k9qGQyytbGxpJTnwxK6Xg,2,QDOBA Mexican Eats,eat often love taco girl checkout counter today pm rude guess visit chipotle
7k9qGQyytbGxpJTnwxK6Xg,2,QDOBA Mexican Eats,let face qdoba go youre craving real mexican food u work close craving something tuna sandwich brought lunch ok choice gripe follows way expensive get want side guac turn negligible amount anyway prepared refinance house want something water drink prepare dig deep wallet line crowd yes get onnear college campus doesnt make le annoyed walk line door seating obviously crowd seating prime sometimes youre lucky sometimes youre food flavorful thats expected chain restaurant general advice youre feeling like eating tuna salad egg salad ham cheesechoke reward mexican dinner one really good spot philadelphia youre grab margarita
7k9qGQyytbGxpJTnwxK6Xg,3,QDOBA Mexican Eats,fastcasual burrito clean restaurant friendly service fine place cheap quick lunch
7k9qGQyytbGxpJTnwxK6Xg,5,QDOBA Mexican Eats,qdoba best chainmexican ive ever location point time food may prepackaged frozen point would rather kind chain mcdonalds giant certainly star average try chicken quesadilla youre looking try first time
7k9qGQyytbGxpJTnwxK6Xg,4,QDOBA Mexican Eats,chipotle qdoba seriously im huge qdoba fan service pretty average amazing terrible great mexican food good wont disappoint however still little pricy big fan haha place would travel either dont think ive ever craved qdoba oh look qdoba guess ill go sort thing
7k9qGQyytbGxpJTnwxK6Xg,2,QDOBA Mexican Eats,nice nice filling option close live qdoba really nothing travel far think prefer taco bell
7k9qGQyytbGxpJTnwxK6Xg,1,QDOBA Mexican Eats,town short visit decided grab bite eat side temple campus restaurant seemed safe enough student older folk decent flow others taking thing go interview next day thought nothing like burrito assembly line keep fueled next morning food delicious eating however problem came later night throughout night seems gotten food poisoning something burrito ate long story short next day flight home werent enjoyable hate give one star queso burrito looked pretty amazing id hate fate fall upon another innocent soul
7k9qGQyytbGxpJTnwxK6Xg,5,QDOBA Mexican Eats,eat quite frequently always clean food always fresh worker always nice professional
7k9qGQyytbGxpJTnwxK6Xg,3,QDOBA Mexican Eats,much better chipotle believe theyre getting queso come lot parking meter machine back always broken yet still tow car feel like im living edge cant find street parking patron temple student dont worry though last time came degree ac inside lemonade sprite machine expect better chain restaurant make burrito love sometimes wrapped better time depending worker im always gon na come week get fix anyway
