business_id,stars,text,name
Jv8lYSZPxY0rzkSpgo7BIw,5,The double cheeseburger is delicious. The service is very welcoming. I will be back to try the fried rice!,Big Boyz Burgers and More
Jv8lYSZPxY0rzkSpgo7BIw,4,Tried this spot here while in town on business.  Great burger hand formed with very fresh veggies and delicious fries.  My only critique would be to fry the fries just a bit longer.  Will definitely be back to try some of the other items on the menu.  Service was quick and polite.,Big Boyz Burgers and More
Jv8lYSZPxY0rzkSpgo7BIw,5,"I had the pleasure of eating here today for the first time. Honestly one of the best burgers I've ever had. It has an awesome ""small business"" feel to it. The owner came out from the kitchen to thank us for coming in. I work right across the street, so I'll be visiting this place on a very regular basis. They have a hot wing challenge that I'm planning on attempting in the near future. To the owner of this place (I'm sorry, I never got your name), keep up the great work!",Big Boyz Burgers and More
Jv8lYSZPxY0rzkSpgo7BIw,5,Read a review in the Riverfront Times so I decided to swing by. Cutiest little dinner.  The staff was friendly and inviting. The menu was full of tasty items but I tried the special fried rice and was pleasantly surprised. It tastes great. Can't wait to try some of the other menu items.,Big Boyz Burgers and More
Jv8lYSZPxY0rzkSpgo7BIw,5,"I called in my ordered of Special Fried Rice on a Saturday. I was told it would be ready in 15mins. & it was,only problem,when I arrived a Large Pit Bull was tied to the door handle of the restaurant which prevented anyone from entering! Come to find out a customer did it because he didn't want to leave his dog in his vehicle(STUPID)! The owner was very upset once he found out and made him leave! He apologized the entire time I was there! He & staff were very friendly & talkative,LOL! The Rice was Very Good considering it's not really a Chinese Restaurant! As a matter of fact they're better than some I've visited! The only complaint I have is they could have put a little more meat in or have larger pieces! I definitely will return and try what they mainly Opened for, ""Burgers""! 

P.S. I did call twice,earlier in the week,and was told they weren't selling any Rice at that time! You almost lost me! If it's on the Menu then you should be ready to Sell when you Open! You're setting yourself up for ""Failure""!",Big Boyz Burgers and More
Jv8lYSZPxY0rzkSpgo7BIw,5,The food was really great! I got the philly and my wife got the chicken bacon ranch. Friendly waitresses. Great selection in music. It's not on the menu but they also serve cakes!,Big Boyz Burgers and More
Jv8lYSZPxY0rzkSpgo7BIw,5,"The experience was wonderful! The food was great, service was smashing, the staff was friendly and accommodating. Nay Nay, our server, was great, checking on us and ensuring we had a great dining experience. The cheeseburger on a brioche bun with pepper jack was wonderful. My mouth is happy!",Big Boyz Burgers and More
Jv8lYSZPxY0rzkSpgo7BIw,5,"I live in south city and I HATE driving to Noco...
But...
I will gladly make that drive at least twice a month for the Kinloch Big Box of fried rice minus the pork.
And the turkey burger is juicy and seasoned well, and delicious af!
Friendly staff welcoming environment!
Love this place!",Big Boyz Burgers and More
Jv8lYSZPxY0rzkSpgo7BIw,3,"I got my food super quick, the shrimp dish and the shrimp was huge and filling, but it lacked a little seasoning. The fries were awesome, though and I would come back again !",Big Boyz Burgers and More
Jv8lYSZPxY0rzkSpgo7BIw,4,"i had the wings...full wing getting 3 order is like getting 6 at others places...highly recommend the hot and honey...wife had burger that was great...good
service highly recommended will be. back soon",Big Boyz Burgers and More
